id,location_name,location_type,description,x_coordinate,y_coordinate,created_at
62,"Akuafo hall annex A ,B, C",Hall,Student residence annex,5.647252174213538,-0.18553176458068682,2026-01-10 09:01:00
63,First bank national hotspot zone,Office,Campus hotspot zone,5.648470673437835,-0.18721143035735463,2026-01-10 09:02:00
64,Mensah sarbah hall,Hall,Student residence hall,5.645658183856581,-0.18626389384991812,2026-01-10 09:03:00
65,"Mensah sarbah hall A, B, C",Hall,Student residence halls,5.6460745786620175,-0.1861458766560677,2026-01-10 09:04:00
66,Central cafeteria (CC),Office,Campus dining facility,5.647077583279874,-0.1868810361782997,2026-01-10 09:05:00
67,SRC union office,Office,Student representative office,5.64723379029408,-0.18767063432768472,2026-01-10 09:06:00
68,UG clinic,Office,Campus health center,5.650892972051192,-0.19629950734249704,2026-01-10 09:07:00
69,Vikings hall,Hall,Student residence hall,5.644294784410391,-0.18599076316348453,2026-01-10 09:08:00
70,Valco trust hall,Hall,Student residence hall,5.644882282268118,-0.18680935768473128,2026-01-10 09:09:00
71,Center for ageing studies,Department,Academic research center,5.643533077830481,-0.18622794782030433,2026-01-10 09:10:00
72,Stanbic bank,Office,Banking facility,5.642737562834838,-0.18569501898452648,2026-01-10 09:11:00
73,Access bank,Office,Banking facility,5.6430999536193305,-0.18537072858254147,2026-01-10 09:12:00
74,Republic bank,Office,Banking facility,5.643548392062767,-0.18505959199932992,2026-01-10 09:13:00
75,Prudential bank,Office,Banking facility,5.643141608034381,-0.1859438496709207,2026-01-10 09:14:00
76,UG Cooperative credit union ltd,Office,Financial service center,,,2026-01-10 09:15:00
77,Cal bank,Office,Banking facility,5.645567533178245,-0.18684484544791344,2026-01-10 09:16:00
78,CBG,Office,Banking facility,5.643903420202778,-0.18506248476715073,2026-01-10 09:17:00
79,UMB,Office,Banking facility,5.642637545088907,-0.18573976472662804,2026-01-10 09:18:00
80,International student hostel (ISH) 1,Hall,Student hostel,5.640251609119495,-0.18516661855185135,2026-01-10 09:19:00
81,International student hostel (ISH) 2,Hall,Student hostel,5.640251609119495,-0.18516661855185135,2026-01-10 09:20:00
82,Jubilee hall,Hall,Student residence hall,5.640394076488294,-0.18542780515113,2026-01-10 09:21:00
83,Hilla Limann Hall,Hall,Student residence hall,5.637577264049107,-0.18489423389366672,2026-01-10 09:22:00
84,Alexander Kwapong hall,Hall,Student residence hall,5.637460179355423,-0.1861299185518105,2026-01-10 09:23:00
85,Jean Nelson hall,Hall,Student residence hall,5.635585229995518,-0.18850407000733005,2026-01-10 09:24:00
86,Elizabeth Sey hall,Hall,Student residence hall,5.6361319258516565,-0.18746765903272636,2026-01-10 09:25:00
87,Diamond Jubilee Hall,Hall,Student residence hall,5.635379534019511,-0.18924523204551252,2026-01-10 09:26:00
88,Bani hostel,Hall,Student hostel,5.663283170760312,-0.17984697807073508,2026-01-10 09:27:00
89,Evandy hostel,Hall,Student hostel,5.663466985981768,-0.1814320662870222,2026-01-10 09:28:00
90,Pentagon hostel,Hall,Student hostel,5.656847636546028,-0.18095992308236342,2026-01-10 09:29:00
91,Great Hall,Hall,Assembly Hall,5.650908441899049,-0.19629539156449877,2026-01-10 09:39:00
