id,from_location_id,to_location_id,distance_km,travel_time_minutes,road_condition,created_at
173,56,57,0.87,6,Fair,2026-01-10 11:52:00
174,57,56,0.87,6,Fair,2026-01-10 11:53:00
175,57,58,1.04,10,Excellent,2026-01-10 11:54:00
176,58,57,1.04,10,Excellent,2026-01-10 11:55:00
177,57,64,1.10,9,Fair,2026-01-10 11:56:00
178,64,57,1.10,9,Fair,2026-01-10 11:57:00
179,58,59,1.21,10,Good,2026-01-10 11:58:00
180,59,58,1.21,10,Good,2026-01-10 11:59:00
181,59,60,0.48,4,Fair,2026-01-10 12:00:00
182,60,59,0.48,4,Fair,2026-01-10 12:01:00
183,60,61,0.65,5,Excellent,2026-01-10 12:02:00
184,61,60,0.65,5,Excellent,2026-01-10 12:03:00
185,60,67,1.40,11,Good,2026-01-10 12:04:00
186,67,60,1.40,11,Good,2026-01-10 12:05:00
187,61,62,0.82,9,Good,2026-01-10 12:06:00
188,62,61,0.82,9,Good,2026-01-10 12:07:00
189,62,63,0.99,9,Fair,2026-01-10 12:08:00
190,63,62,0.99,9,Fair,2026-01-10 12:09:00
191,63,64,1.16,9,Excellent,2026-01-10 12:10:00
192,64,63,1.16,9,Excellent,2026-01-10 12:11:00
193,63,70,1.30,10,Excellent,2026-01-10 12:12:00
194,70,63,1.30,10,Excellent,2026-01-10 12:13:00
195,64,65,0.43,3,Good,2026-01-10 12:14:00
196,65,64,0.43,3,Good,2026-01-10 12:15:00
197,65,66,0.60,7,Fair,2026-01-10 12:16:00
198,66,65,0.60,7,Fair,2026-01-10 12:17:00
199,66,67,0.77,7,Excellent,2026-01-10 12:18:00
200,67,66,0.77,7,Excellent,2026-01-10 12:19:00
201,66,73,1.50,12,Good,2026-01-10 12:20:00
202,73,66,1.50,12,Good,2026-01-10 12:21:00
203,67,68,0.94,8,Good,2026-01-10 12:22:00
204,68,67,0.94,8,Good,2026-01-10 12:23:00
205,68,69,1.11,8,Fair,2026-01-10 12:24:00
206,69,68,1.11,8,Fair,2026-01-10 12:25:00
207,69,70,0.38,6,Excellent,2026-01-10 12:26:00
208,70,69,0.38,6,Excellent,2026-01-10 12:27:00
209,69,76,1.20,9,Fair,2026-01-10 12:28:00
210,76,69,1.20,9,Fair,2026-01-10 12:29:00
211,70,71,0.55,6,Good,2026-01-10 12:30:00
212,71,70,0.55,6,Good,2026-01-10 12:31:00
213,71,72,0.72,6,Fair,2026-01-10 12:32:00
214,72,71,0.72,6,Fair,2026-01-10 12:33:00
215,72,73,0.89,6,Excellent,2026-01-10 12:34:00
216,73,72,0.89,6,Excellent,2026-01-10 12:35:00
217,72,79,1.40,11,Good,2026-01-10 12:36:00
218,79,72,1.40,11,Good,2026-01-10 12:37:00
219,73,74,1.06,10,Good,2026-01-10 12:38:00
220,74,73,1.06,10,Good,2026-01-10 12:39:00
221,74,75,1.23,11,Fair,2026-01-10 12:40:00
222,75,74,1.23,11,Fair,2026-01-10 12:41:00
223,75,76,0.50,4,Excellent,2026-01-10 12:42:00
224,76,75,0.50,4,Excellent,2026-01-10 12:43:00
225,75,82,1.10,9,Excellent,2026-01-10 12:44:00
226,82,75,1.10,9,Excellent,2026-01-10 12:45:00
227,76,77,0.67,5,Good,2026-01-10 12:46:00
228,77,76,0.67,5,Good,2026-01-10 12:47:00
229,77,78,0.84,9,Fair,2026-01-10 12:48:00
230,78,77,0.84,9,Fair,2026-01-10 12:49:00
231,78,79,1.01,9,Excellent,2026-01-10 12:50:00
232,79,78,1.01,9,Excellent,2026-01-10 12:51:00
233,78,85,1.50,12,Good,2026-01-10 12:52:00
234,85,78,1.50,12,Good,2026-01-10 12:53:00
235,79,80,1.18,9,Good,2026-01-10 12:54:00
236,80,79,1.18,9,Good,2026-01-10 12:55:00
237,80,81,0.45,3,Fair,2026-01-10 12:56:00
238,81,80,0.45,3,Fair,2026-01-10 12:57:00
239,81,82,0.62,7,Excellent,2026-01-10 12:58:00
240,82,81,0.62,7,Excellent,2026-01-10 12:59:00
241,81,88,1.30,10,Fair,2026-01-10 13:00:00
242,88,81,1.30,10,Fair,2026-01-10 13:01:00
243,82,83,0.79,8,Good,2026-01-10 13:02:00
244,83,82,0.79,8,Good,2026-01-10 13:03:00
245,83,84,0.96,8,Fair,2026-01-10 13:04:00
246,84,83,0.96,8,Fair,2026-01-10 13:05:00
247,84,85,1.13,8,Excellent,2026-01-10 13:06:00
248,85,84,1.13,8,Excellent,2026-01-10 13:07:00
249,84,91,1.20,9,Good,2026-01-10 13:08:00
250,91,84,1.20,9,Good,2026-01-10 13:09:00
251,85,86,0.40,6,Good,2026-01-10 13:10:00
252,86,85,0.40,6,Good,2026-01-10 13:11:00
253,86,87,0.57,6,Fair,2026-01-10 13:12:00
254,87,86,0.57,6,Fair,2026-01-10 13:13:00
255,87,88,0.74,6,Excellent,2026-01-10 13:14:00
256,88,87,0.74,6,Excellent,2026-01-10 13:15:00
257,88,89,0.91,6,Good,2026-01-10 13:16:00
258,89,88,0.91,6,Good,2026-01-10 13:17:00
259,89,90,1.08,11,Fair,2026-01-10 13:18:00
260,90,89,1.08,11,Fair,2026-01-10 13:19:00
261,90,91,0.35,4,Excellent,2026-01-10 13:20:00
262,91,90,0.35,4,Excellent,2026-01-10 13:21:00
